match,home_team,away_team,elo_prob_home,result_home,advances,to_match,loses,penalties,stage
0,Netherlands,United States,,,,8,,,eigths_finals
1,Argentina,Australia,,,,8,,,eigths_finals
2,Japan,Croatia,,,,9,,,eigths_finals
3,Brazil,South Korea,,,,9,,,eigths_finals
4,England,Senegal,,,,10,,,eigths_finals
5,France,Poland,,,,10,,,eigths_finals
6,Morocco,Spain,,,,11,,,eigths_finals
7,Portugal,Switzerland,,,,11,,,eigths_finals
8,,,,,,12,,,quarterfinals
9,,,,,,12,,,quarterfinals
10,,,,,,13,,,quarterfinals
11,,,,,,13,,,quarterfinals
12,,,,,,14,,,semifinals
13,,,,,,14,,,semifinals
14,,,,,,15,,,final
15,,,,,,15,,,third_place
